14.5924 	WARNING 	Requested an unavailable screen number - using first available.
41.0301 	EXP 	target_stim: autoDraw = True
41.2855 	DATA 	Keypress: right
41.2966 	EXP 	fixation: autoDraw = False
41.2966 	EXP 	cue_stim: autoDraw = False
41.2966 	EXP 	target_stim: autoDraw = False
41.2966 	EXP 	reminder: autoDraw = False
41.2966 	EXP 	feedback_rt: height = 0.12
41.2966 	EXP 	feedback_rt: height = 0.12
41.2966 	EXP 	feedback_rt: height = 0.12
41.2966 	EXP 	feedback_rt: text = 'Tempo de Reação: 237 ms'
41.2966 	EXP 	feedback_rt: autoDraw = True
42.2808 	EXP 	New trial (rep=1, index=4): {'cue': 'images/arrow_right.png', 'target_x': 0.55, 'is_valid': 1, 'corr': 'right'}
42.2965 	EXP 	feedback_rt: autoDraw = False
42.2965 	EXP 	feedback_rt: autoDraw = False
42.2965 	EXP 	cue_stim: ori = 0.0
42.2965 	EXP 	cue_stim: image = 'images/arrow_right.png'
42.2965 	EXP 	fixation: autoDraw = True
43.0967 	EXP 	fixation: autoDraw = False
43.0967 	EXP 	cue_stim: autoDraw = True
43.2963 	EXP 	cue_stim: autoDraw = False
43.2963 	EXP 	target_stim: autoDraw = True
43.5365 	DATA 	Keypress: right
43.5464 	EXP 	fixation: autoDraw = False
43.5464 	EXP 	cue_stim: autoDraw = False
43.5464 	EXP 	target_stim: autoDraw = False
43.5464 	EXP 	reminder: autoDraw = False
43.5464 	EXP 	feedback_rt: height = 0.12
43.5464 	EXP 	feedback_rt: height = 0.12
43.5464 	EXP 	feedback_rt: height = 0.12
43.5464 	EXP 	feedback_rt: text = 'Tempo de Reação: 219 ms'
43.5464 	EXP 	feedback_rt: autoDraw = True
44.5305 	EXP 	New trial (rep=1, index=5): {'cue': 'images/arrow_right.png', 'target_x': -0.55, 'is_valid': -1, 'corr': 'left'}
44.5461 	EXP 	feedback_rt: autoDraw = False
44.5461 	EXP 	feedback_rt: autoDraw = False
44.5461 	EXP 	cue_stim: ori = 0.0
44.5461 	EXP 	cue_stim: image = 'images/arrow_right.png'
44.5461 	EXP 	fixation: autoDraw = True
45.3465 	EXP 	fixation: autoDraw = False
45.3465 	EXP 	cue_stim: autoDraw = True
45.5462 	EXP 	cue_stim: autoDraw = False
45.5462 	EXP 	target_stim: autoDraw = True
45.8860 	DATA 	Keypress: left
